Country,Divergence_level,Indicator,Published_Indicator,Dashboard_Indicator,Subpillar,Published_Subpillar,Dashboard_Subpillar,Pillar,Published_Pillar,Dashboard_Pillar,Published_CHIPS,Dashboard_CHIPS,Published_Rank,Dashboard_Rank
Bangladesh,indicator,Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents,,0.1,SUSTAINABILITY · Sustainability,49.1,39.3,SUSTAINABILITY,49.1,39.3,20.13,18.89,28.0,42.0
Italy,indicator,"Fixed (broadband) internet price, USD PPP",11.9,73.0,CONNECT · Affordability,52.6,67.9,CONNECT,24.7,28.58,19.38,20.34,38.0,25.0
Switzerland,sub-pillar,,,,INNOVATE · AI,12.0,8.5,INNOVATE,5.6,4.42,19.77,19.48,35.0,37.0
