Country,Price of mobile data and voice basket (HC)  (PPP),Price of mobile data and voice basket (LC) (PPP),Price of cheapest smartphone (PPP$),Price of fixed broadband internet (PPP),Median Mobile Download Speeds (Mbps),Median Fixed Broadband Download Speed (Mbps),Number of Internet Users (absolute numbers),Mobile Cellular Subscriptions in millions (absolute numbers),Population covered by LTE (Absolute numbers),Number of smartphone users (million),"Gender gap - Number of women that need to use the internet (or stop using the internet, if negative) to achieve parity in internet penetration rate",Number of internet users (16-64 years) using social media for work related activities,Number of users of digital food delivery platforms (millions),Number of users of digital health applications,Number of e-commerce users,Consumer Spend on Mobile Apps (millions USD),Number of video on demand users,Fixed-broadband Internet traffic (EB),Mobile broadband internet traffic (EB),Value of digital payment transactions (millions of dollars),Users of Digital Payments (in millions),"Number of people who received public sector wages (% of public sector wage recipients, age 15 +) per 1000 adults",Number of mobile money and internet banking transactions per 1000 adults,Number of mobile money and internet banking transactions,ICT Services Export  (million USD),"Total digitally delivered services (million USD)",IT market Capitalisation in USD,Employment: ICT sector (thousands),Employment: ICT services (thousands),Number of Start-ups,Valuation of Unicorns (Millions of USD),Total funding till date of Startups having their Head Quarters or atleast one office location in India (Millions of USD),Consumer and Industrial IoT revenues (millions of USD),AR/ VR revenues (millions of USD),Metaverse revenue (millions of USD),DeFi revenue (millions of USD),Robotics revenue (millions of USD),Drones revenue (millions of USD),Crypto Index Score,Cybersecurity revenue (Mn USD),Number of Secure servers,Ransomware attacks 30 day average,Ransomware victims,Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3),E-waste generated (million kg),Number of energy and digital startups,VC investments in AI and environmental sustainability by country (USD million),Patents filed (2000-2024) in Smart Grids,Patents filed (2000-2024) in Information/Communication Technologies for Electromobility  https://irena.sharepoint.com/:x:/s/statistics-public/IQA9pfQVFizORLB-JmQZ6qZeAaVN67p9zCW8IGFluuD0Eew?rtime=LA9v10ze3kg,"Net electricity production from Renewables (Hydro, Geo, Solar, Wind, Other) (GWh)",Total renewable energy production (GWh),AAL by Climate (Million USD) for the Telecom Sector- Existing Climate,,,,,Count,,,Number of AI users,Compute capacity,Open Data Score,AI Infrastructure,AI Infrastructure,Compute Capacity (Rmax) in Millions,Apps and Platforms,Development: Open Source models score,Relative AI Skill Penetration,AI Talent Pillar Score,Total AI Private Investment in Millions,Newly Funded AI Companies,AI commercial,AI Innovation - Research,AI Research and Development- score,Safety and security,Responsible AI - Conference Submissions on RAI Topics (Total),Public trust score
China,14.00,8.00,381.00,8.00,164.00,221.00,"1,260,000,000.00","1,870,000,000.00","1,419,321.28","956,000,000.00","19,073,904.00","465,000,000.00","1,060.00",199.20,"1,053.90","1,312,483.13","1,009.50","2,209.70",346.10,"10,040,000.00","1,001.03",-,-,-,"100,282.00","245,046.00","790,023.00",-,-,"122,000.00","687,100.00","1,040,000.00","126,810.00","9,333.90","21,101.30",-,"9,140.00","1,600.00",12.50,"15,720.00","2,826,342,717.00","2,580.00",44.00,"722,342.00","12,066.00",4.83,571.00,"35,338.00","16,281.00","25,955,496.00","2,842,826.00","4,854.70",,Czechia,74.01,,38,,,231000000,80.7,39,78,66,319,78,26.20,-,26.00,"9,290.00",98.00,48.00,54.00,62.01,100.00,268.00,35.10
Colombia,20.00,20.00,207.00,46.00,43.00,207.00,"42,317,786.00","92,100,000.00","52,886.36","30,765,227.00",-,"15,047,628.00",15.60,7.00,19.00,"16,752.72",34.00,8.00,5.20,-,-,-,"387,097.43","20,472,174,038.05","1,924.00","5,644.32",-,406.20,19.19,"11,600.00","8,400.00","24,000.00","1,097.00",146.66,364.70,160.90,152.65,9.76,6.50,362.00,"3,149,964.70",360.00,48.00,"276,631.00",388.00,1.00,9.00,22.00,13.00,"691,122.00","62,119.00",160.50,,Denmark,230.41,,32,,,11635000,11.3,67,54,19,-,52,0.00,-,5.00,-,-,1.00,0.00,-,50.00,-,54.10
Costa Rica,17.00,17.00,105.00,61.00,71.00,156.00,"4,477,274.00","6,980,000.00","4,873.41","3,089,103.00",-,-,1.60,1.60,1.80,-,3.10,5.70,0.50,"9,650.00",1.72,-,"208,607.95","1,070,140,008.78","2,236.00","9,525.34",-,51.61,1.15,"2,380.00",-,935.00,300.78,-,-,3.41,22.88,1.75,1.40,111.00,"52,628.00",13.00,7.00,"49,906.00",66.00,-,-,2.00,1.00,"62,354.00","11,451.00",71.40,,"Egypt, Arab Rep.",76.43,,33,,,1359426,7.7,67,43,-,-,32,-,-,-,-,-,-,-,-,62.33,-,-
Croatia,16.00,16.00,142.00,15.00,150.00,124.00,"3,314,407.00","4,720,000.00","3,865.25","3,025,345.00","173,459.00","807,381.00",2.10,1.40,1.70,"12,970.02",2.10,5.00,1.50,"10,630.00",1.66,426.00,"96,395.44","373,563,658.52","1,838.00","5,564.83","1,728.00",74.14,2.41,"27,500.00","3,000.00","7,430.00",226.09,-,-,2.48,31.05,3.00,1.40,108.00,"441,372.39",13.00,7.00,"16,130.00",54.00,0.00,25.00,29.00,15.00,"104,780.00","12,227.00",47.20,,Ethiopia,8.37,,38,,,918452,8.5,60,52,16,-,50,0.00,-,6.00,-,-,16.00,2.00,-,33.33,-,36.90
Czechia,33.00,31.00,122.25,40.00,99.00,89.00,"9,691,369.00","13,600,000.00","10,714.39","8,510,391.00","-90,828.00","1,959,599.00",5.10,1.90,6.70,"34,703.40",4.80,18.20,1.70,"29,590.00",6.40,"1,630.00","124,695.09","1,338,709,028.93","6,878.00","20,023.32",-,186.78,9.43,"15,000.00","1,200.00","9,310.00",955.39,148.70,222.70,79.70,307.14,12.26,3.30,378.00,"9,288,235.77",25.00,25.00,"77,039.00",173.00,1.00,44.00,27.00,7.00,"163,732.00","11,147.00",145.70,,Finland,124.37,,38,,,2984569,15.8,63,59,19,-,61,0.00,-,10.00,-,-,4.00,4.00,-,66.67,-,44.10
Denmark,11.00,11.00,260.00,42.00,182.00,272.00,"5,915,984.00","7,570,000.00","5,977.41","5,078,293.00","-10,078.00","1,117,175.00",4.30,3.50,4.90,"55,188.25",3.80,13.00,2.40,"59,730.00",4.51,907.00,"94,036.45","562,094,604.67","8,947.00","41,531.85",-,127.23,8.70,"22,800.00","6,700.00","53,900.00","1,603.68",184.60,381.90,66.30,335.87,21.83,1.00,476.00,"8,808,320.30",14.00,29.00,"59,469.00",131.00,3.56,2.00,325.00,116.00,"344,920.00","29,213.00",41.70,,France,247.35,,36,,,1715517,12.7,89,60,25,67,67,0.00,0.57,17.00,133.23,15.00,9.00,7.00,0.64,100.00,7.00,37.80
Dominican Republic,58.00,29.00,156.00,42.00,165.00,72.00,"10,304,220.00","10,700,000.00","11,153.30","6,447,456.00",-,-,3.80,1.60,4.00,-,6.50,6.30,1.30,"12,020.00",3.80,-,"33,087.11","378,104,934.75",53.00,"1,695.21",-,62.76,5.35,"1,260.00",-,372.00,420.61,41.20,82.60,-,25.00,4.54,1.30,136.00,"23,621.00",13.00,9.00,"29,755.00",99.00,0.00,-,2.00,1.00,-,"4,494.00",194.80,,Germany,92.65,,33,,,2594055,4.2,62,37,-,-,39,-,-,-,-,-,-,-,-,33.33,-,-
Ecuador,34.00,31.00,368.00,55.00,53.00,150.00,"14,501,723.00","18,400,000.00","17,397.36","7,405,860.00",-,-,3.20,2.00,4.40,-,11.30,6.10,0.90,"11,890.00",3.96,-,"222,602.58","4,037,004,637.54",94.00,599.93,-,71.17,1.27,"2,720.00","1,500.00","2,220.00",326.08,-,-,17.20,22.26,2.19,2.30,82.00,"161,442.02",26.00,9.00,"49,972.00",108.00,0.00,-,3.00,1.00,-,"25,954.00",56.60,,Greece,49.31,,35,,,3209980,6.9,64,47,-,-,22,-,-,-,-,-,-,-,-,66.67,-,-
Egypt,15.00,10.00,480.00,34.00,45.00,92.00,"75,477,740.00","113,000,000.00","114,207.49","59,651,870.00","11,174,566.00","20,377,572.00",23.90,7.90,30.50,"15,324.20",52.10,21.20,4.90,"37,720.00",28.99,-,"1,553.25","181,013,114.48","1,710.00","5,336.18",-,243.63,28.13,"9,420.00","1,000.00","17,600.00",506.19,128.00,378.40,184.80,66.84,2.19,5.00,171.00,"1,116,436.51","6,875.00",24.00,"99,405.00",692.00,1.00,12.00,3.00,1.00,-,"27,070.00",26.90,,"Hong Kong SAR, China",296.97,,34,,,15616127,7.9,53,48,16,-,59,0.00,-,5.00,-,-,2.00,2.00,-,83.33,-,60.40
Ethiopia,6.00,4.00,-,29.00,9.00,13.00,"23,593,497.00","85,900,000.00","58,106.30","11,085,491.00","9,657,280.00",-,11.60,12.20,10.70,-,41.70,1.30,1.10,"20,570.00",10.36,-,-,-,-,263.77,-,109.03,-,"1,510.00",-,"1,380.00",780.39,-,-,24.20,12.29,1.90,9.80,68.00,"413,875.31",17.00,1.00,"14,256.00",88.00,0.00,-,41.07,18.79,-,"17,750.00",1.40,,Hungary,185.94,,35,,,8980064,5.4,44,28,1,-,45,0.00,-,1.00,-,-,1.00,0.00,-,66.67,-,36.90
