Country,Price of mobile data and voice basket (HC)  (PPP),Price of mobile data and voice basket (LC) (PPP),Price of cheapest smartphone (PPP$),Price of fixed broadband internet (PPP),Median Mobile Download Speeds (Mbps),Median Fixed Broadband Download Speed (Mbps),Number of Internet Users (absolute numbers),Mobile Cellular Subscriptions in millions (absolute numbers),Population covered by LTE (Absolute numbers),Number of smartphone users (million),"Gender gap - Number of women that need to use the internet (or stop using the internet, if negative) to achieve parity in internet penetration rate",Number of internet users (16-64 years) using social media for work related activities,Number of users of digital food delivery platforms (millions),Number of users of digital health applications,Number of e-commerce users,Consumer Spend on Mobile Apps (millions USD),Number of video on demand users,Fixed-broadband Internet traffic (EB),Mobile broadband internet traffic (EB),Value of digital payment transactions (millions of dollars),Users of Digital Payments (in millions),"Number of people who received public sector wages (% of public sector wage recipients, age 15 +) per 1000 adults",Number of mobile money and internet banking transactions per 1000 adults,Number of mobile money and internet banking transactions,ICT Services Export  (million USD),"Total digitally delivered services (million USD)",IT market Capitalisation in USD,Employment: ICT sector (thousands),Employment: ICT services (thousands),Number of Start-ups,Valuation of Unicorns (Millions of USD),Total funding till date of Startups having their Head Quarters or atleast one office location in India (Millions of USD),Consumer and Industrial IoT revenues (millions of USD),AR/ VR revenues (millions of USD),Metaverse revenue (millions of USD),DeFi revenue (millions of USD),Robotics revenue (millions of USD),Drones revenue (millions of USD),Crypto Index Score,Cybersecurity revenue (Mn USD),Number of Secure servers,Ransomware attacks 30 day average,Ransomware victims,Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3),E-waste generated (million kg),Number of energy and digital startups,VC investments in AI and environmental sustainability by country (USD million),Patents filed (2000-2024) in Smart Grids,Patents filed (2000-2024) in Information/Communication Technologies for Electromobility  https://irena.sharepoint.com/:x:/s/statistics-public/IQA9pfQVFizORLB-JmQZ6qZeAaVN67p9zCW8IGFluuD0Eew?rtime=LA9v10ze3kg,"Net electricity production from Renewables (Hydro, Geo, Solar, Wind, Other) (GWh)",Total renewable energy production (GWh),AAL by Climate (Million USD) for the Telecom Sector- Existing Climate,,,,,Count,,,Number of AI users,Compute capacity,Open Data Score,AI Infrastructure,AI Infrastructure,Compute Capacity (Rmax) in Millions,Apps and Platforms,Development: Open Source models score,Relative AI Skill Penetration,AI Talent Pillar Score,Total AI Private Investment in Millions,Newly Funded AI Companies,AI commercial,AI Innovation - Research,AI Research and Development- score,Safety and security,Responsible AI - Conference Submissions on RAI Topics (Total),Public trust score
Ireland,22.00,22.00,116.00,38.00,66.00,195.00,"5,044,668.00","5,920,000.00","5,244.51","4,258,603.00","-25,680.00","1,257,233.00",2.20,3.80,3.90,"36,538.44",2.60,8.90,1.80,"49,380.00",3.70,458.00,-,-,"292,235.00","463,144.60",-,192.63,7.16,"19,200.00","13,700.00","88,800.00","2,032.71",157.80,285.10,58.50,218.13,2.00,1.00,603.00,"3,444,217.29",14.00,20.00,"80,409.00",103.00,9.59,97.00,16.00,1.00,"159,488.00","14,283.00",56.40,,Mexico,80.33,,38,,,2343738,32.3,77,65,26,11,59,0.00,0.61,13.00,145.37,9.00,12.00,5.00,0.74,50.00,1.00,8.10
Israel,12.00,12.00,125.00,29.00,65.00,280.00,"8,179,323.00","16,700,000.00","9,293.15","7,140,840.00",-,"2,054,351.00",4.10,3.20,6.10,"65,074.20",6.80,-,2.30,"43,220.00",5.86,"1,105.00",-,-,"34,629.00","74,887.96","40,022.00",283.06,5.65,"22,900.00","47,400.00","96,800.00","1,652.99",136.40,352.70,50.10,128.22,11.57,2.20,"1,008.00","1,156,612.41",6.00,34.00,"596,001.00",148.00,2.87,38.00,176.00,81.00,,"9,141.00",53.40,,Morocco,31.47,,36,,,3388715,21.1,74,63,25,5,87,8.40,0.77,27.00,"1,360.00",36.00,29.00,17.00,1.46,66.67,15.00,37.80
Italy,23.00,23.00,165.00,46.00,90.00,111.00,"53,011,417.00","78,700,000.00","59,342.87","47,716,654.00","941,141.00","10,509,106.00",29.00,15.20,26.30,"142,323.54",44.70,67.70,14.00,"276,450.00",25.15,"2,536.00","17,782.75","1,055,279,421.49","9,264.00","70,604.89","11,539.00",760.76,58.23,"68,700.00","4,500.00","125,000.00","8,340.00","1,169.30","1,936.60",248.70,"1,399.87",56.87,6.40,"3,020.00","107,216,716.10","1,190.00",158.00,"731,296.00","1,124.00",1.45,133.00,159.00,76.00,"1,757,220.00","116,538.00","1,062.30",,Netherlands,191.86,,37,,,16497317,40.0,76,64,23,849,65,1.10,0.77,16.00,863.95,14.00,5.00,7.00,3.23,83.33,23.00,45.90
Japan,32.00,27.00,235.00,43.00,67.00,234.00,"105,000,000.00",-,"119,545.44","91,710,752.00",-,"7,774,152.00",58.70,26.30,90.10,"1,768,528.08",81.20,150.80,28.90,"745,080.00",81.82,"3,934.00",-,-,"10,771.00","127,300.40","1,070,689.00","4,167.50",-,"46,500.00","11,800.00","90,300.00","14,381.83","2,715.00","5,464.20",357.00,"2,690.00",66.89,10.40,"9,880.00","505,203,845.70",630.00,111.00,"720,959.00","2,638.00",14.90,1.00,"10,260.00","6,112.00","2,776,074.00","226,525.00","15,767.90",,Nigeria,21.87,,32,,,23636831,50.5,71,71,46,941,71,1.90,-,15.00,927.03,42.00,13.00,8.00,5.39,100.00,36.00,21.60
Kazakhstan,37.00,34.00,247.00,23.00,95.00,86.00,"18,715,991.00","26,200,000.00","18,862.80","15,334,009.00","101,807.00",-,3.00,2.90,7.30,-,8.40,6.80,5.90,"25,300.00",7.03,"1,456.00",-,-,864.00,"3,173.00",-,-,-,"2,010.00",-,"9,250.00",887.01,-,-,42.40,46.06,2.21,2.90,307.00,"2,931,970.26",190.00,1.00,"32,012.00",196.00,0.00,99.00,1.00,22.69,-,"14,470.00",41.40,,Norway,138.36,,35,,,2821182,7.9,72,54,-,-,46,-,-,-,-,-,-,-,-,33.33,-,-
Kenya,15.00,7.00,171.00,68.00,45.00,16.00,"26,938,282.00","71,400,000.00","54,909.26","25,439,410.00",-,"9,035,114.00",22.40,3.10,7.00,"7,158.42",12.70,2.80,1.90,"16,820.00",6.42,-,-,-,-,"1,783.43","2,981.00",158.35,19.36,"10,900.00",-,"11,700.00",331.83,27.00,143.00,16.90,23.12,1.60,8.00,70.00,"1,272,901.50",22.00,10.00,"32,217.00",88.00,1.00,-,42.07,19.09,-,"10,356.00",10.20,,Pakistan,15.6,,33,,,4571069,9.1,61,39,5,-,48,0.00,-,1.00,-,-,3.00,0.00,-,100.00,-,36.90
Kuwait,40.00,33.00,173.00,27.00,416.00,229.00,"4,829,452.00",-,"4,929.57","3,631,328.00",-,-,1.70,1.00,2.00,-,3.20,0.60,4.70,"13,790.00",1.96,-,-,-,"5,472.00","7,327.02","3,442.00",-,-,"2,460.00",-,"23,800.00",307.79,-,-,9.77,43.05,2.09,0.30,89.00,"9,287.00",16.00,5.00,"16,161.00",71.00,0.00,-,72.65,28.26,-,172.00,9.70,,Peru,185.54,,34,,,942491,5.4,52,53,-,-,42,-,-,-,-,-,-,-,-,45.67,-,-
Malaysia,21.00,19.00,-,65.00,144.00,164.00,"32,874,980.00","49,700,000.00","35,059.87","29,537,496.00","222,488.00","11,622,144.00",17.90,4.80,17.30,"80,223.13",23.80,14.00,15.60,"92,000.00",15.18,-,"183,379.79","6,520,558,057.49","4,015.00","19,154.81","9,046.00","1,259.84",,"26,200.00","1,700.00","21,100.00","1,433.52",124.30,361.30,79.40,262.13,10.71,4.00,500.00,"9,451,585.19",160.00,47.00,"138,431.00",411.00,2.27,9.00,111.00,66.00,-,"35,254.00",42.40,,Philippines,93.85,,37,,,7004862,19.8,90,61,29,-,64,0.00,-,4.00,64.30,1.00,4.00,3.00,1.48,33.33,1.00,100.00
Mexico,16.00,16.00,86.00,32.00,41.00,93.00,"105,000,000.00","152,000,000.00","127,458.62","69,664,557.00","1,876,965.00","31,898,222.00",48.70,14.10,108.00,"92,818.30",88.40,51.70,9.30,"163,490.00",104.64,-,"24,887.79","3,256,841,087.19","1,575.00","19,535.18","23,609.00",570.95,11.22,"21,500.00","13,700.00","60,300.00","5,850.00",900.90,"1,366.40",321.90,571.95,25.92,18.50,"2,760.00","9,104,392.84",375.00,74.00,"474,174.00","1,499.00",1.00,289.00,594.00,227.00,"937,639.00","70,698.00","1,205.50",,Poland,167.46,,36,,,23293259,12.5,76,52,18,-,53,0.00,0.87,7.00,101.90,3.00,3.00,1.00,0.87,24.33,-,81.10
Morocco,12.00,6.00,129.00,25.00,124.00,56.00,"29,697,521.00","58,300,000.00","36,976.82","23,792,949.00",-,-,10.50,4.10,12.50,"8,030.30",19.50,12.40,5.50,"17,720.00",12.03,-,-,-,-,"8,009.36","1,899.00",-,-,"4,160.00",-,"3,250.00",414.73,49.30,99.20,46.90,63.83,2.26,8.40,146.00,"837,214.59",76.00,9.00,"92,545.00",177.00,1.00,-,29.00,6.00,-,"7,595.00",13.60,,Portugal,182.62,,36,,,4150848,7.7,77,48,16,-,54,0.80,-,3.00,-,-,0.00,1.00,-,33.33,-,36.90
Netherlands,26.00,23.00,257.00,51.00,171.00,229.00,"17,583,556.00","23,400,000.00","18,046.45","14,510,309.00","61,959.00","3,929,618.00",13.20,4.90,15.00,"109,310.58",10.20,-,2.30,"126,200.00",13.30,"1,750.00","217,883.00","3,971,732,557.42","37,758.00","232,276.70","687,341.00",434.82,27.68,"65,900.00","24,500.00","156,000.00","4,170.00",479.60,955.00,81.20,"1,274.53",30.74,6.80,"3,090.00","65,167,550.35",67.00,38.00,"515,693.00",387.00,28.33,0.00,47.00,25.00,"451,302.00","56,779.00",447.20,,Romania,220.66,,36,,,7090980,39.2,82,70,40,98,68,2.10,0.74,23.00,"1,090.00",24.00,10.00,10.00,2.21,66.67,31.00,21.60
New Zealand,17.00,14.00,59.00,44.00,127.00,211.00,"4,926,438.00","6,780,000.00","5,135.73","4,389,733.00",-,"1,270,657.00",2.20,1.70,3.80,"38,754.75",3.40,10.50,0.50,"23,760.00",3.59,801.00,-,-,"1,133.00","4,904.18",-,-,-,"36,600.00","1,000.00","10,100.00",671.76,132.30,271.70,34.90,82.61,15.65,1.20,531.00,"516,039.68",35.00,12.00,"66,305.00",101.00,1.15,-,181.00,20.00,"565,947.00","39,133.00",178.40,,Russia,89,,37,,,2111647,12.2,76,57,23,-,64,0.00,0.42,10.00,10.36,2.00,4.00,4.00,0.47,59.67,-,18.90
Nigeria,13.00,10.00,-,56.00,44.00,33.00,"91,850,529.00","165,000,000.00","196,846.84","49,300,916.00",-,"32,886,711.00",60.30,11.90,31.20,"10,084.36",38.30,0.00,8.90,"108,750.00",26.96,-,-,-,184.00,"1,328.84","1,524.00",163.92,13.73,"24,400.00","3,000.00","30,200.00",993.64,96.70,451.30,421.30,369.27,12.35,69.30,148.00,"5,325,335.20",16.00,9.00,"169,647.00",497.00,3.25,14.00,41.02,18.77,-,"9,756.00",43.90,,Saudi Arabia,114.37,,36,,,21639191,9.3,56,39,5,-,44,0.00,-,1.00,-,-,1.00,1.00,-,66.67,-,81.10
Norway,39.00,39.00,188.00,99.00,163.00,170.00,"5,498,188.00",-,"5,448.40","4,819,767.00","14,022.00","1,483,808.00",3.70,3.00,5.20,"72,538.95",3.90,-,1.00,"63,270.00",4.59,"1,258.00","118,517.64","660,932,582.28","4,731.00","23,735.63","11,407.00",129.78,8.65,"17,400.00","5,500.00","45,200.00","2,104.91",210.80,390.90,83.90,200.75,11.74,1.10,568.00,"1,102,215.70",3.00,18.00,"76,999.00",145.00,1.00,0.00,69.00,26.00,"2,295,082.00","151,302.00",18.60,,Singapore,316.99,,34,,,2587570,18.9,89,66,25,23,71,1.10,0.49,14.00,194.64,9.00,11.00,7.00,0.81,66.67,-,10.80
Pakistan,7.00,7.00,-,21.00,24.00,18.00,"117,000,000.00","193,000,000.00","203,528.02","54,764,439.00","16,545,490.00",-,72.50,18.50,17.90,"11,142.24",80.00,27.90,13.80,"51,110.00",17.01,-,"10,392.00","2,611,189,526.40","3,612.00","5,807.09",278.00,493.17,-,"22,000.00",-,"4,540.00",730.40,43.20,321.10,439.60,40.34,4.57,28.00,180.00,"6,922,968.01",194.00,20.00,"212,798.00",559.00,1.61,1.00,41.41,18.89,-,"46,406.00",95.60,,South Korea,168.13,,35,,,25880724,10.0,42,41,8,-,48,0.00,-,4.00,-,-,1.00,1.00,-,66.67,-,81.10
Peru,14.00,14.00,168.00,36.00,36.00,252.00,"27,392,506.00","42,600,000.00","31,918.41","19,672,852.00",-,-,7.30,4.50,19.70,"17,680.50",21.30,23.90,7.10,-,-,-,-,-,154.00,"1,264.18",-,135.84,2.50,"5,220.00",-,"16,500.00",916.04,53.70,269.50,90.80,33.06,3.52,5.70,166.00,"968,057.12",210.00,24.00,"127,768.00",221.00,0.00,-,13.00,7.00,-,"32,920.00",55.40,,Spain,217.92,,34,,,5030024,8.1,63,46,18,-,47,0.00,-,4.00,-,-,1.00,0.00,-,66.67,-,64.90
Philippines,17.00,17.00,282.00,43.00,54.00,103.00,"79,916,589.00","134,000,000.00","114,326.12","70,647,687.00",-,"23,922,833.00",34.40,11.90,22.80,"64,626.38",62.60,-,11.70,"132,930.00",22.36,-,-,-,"8,083.00","24,352.36","1,838.00",530.18,90.75,"14,000.00","1,000.00","26,200.00","1,707.97",211.80,507.80,170.70,76.78,8.34,28.00,257.00,"1,765,457.52",230.00,24.00,"328,540.00",537.00,1.91,-,103.00,55.00,-,"25,950.00",572.20,,Sweden,154.48,,35,,,21199392,10.4,74,50,16,-,59,0.00,-,1.00,-,-,1.00,0.00,-,66.67,-,65.80
Poland,14.00,14.00,129.00,31.00,105.00,214.00,"32,661,448.00","53,200,000.00","38,539.20","28,281,046.00","65,666.00","7,735,535.00",16.40,6.80,18.60,"82,309.77",16.30,61.10,9.50,"168,680.00",13.87,-,"139,412.04","5,372,828,491.97","18,669.00","59,131.74","4,412.00",670.74,18.59,"29,000.00",-,"23,600.00","3,166.24",242.20,555.70,105.90,349.82,28.66,10.10,930.00,"57,953,284.96",47.00,29.00,"367,428.00",517.00,14.77,25.00,298.00,114.00,"444,480.00","45,889.00",240.70,,Switzerland,214.8,,38,,,10983672,33.3,89,65,23,66,56,0.80,0.71,11.00,36.60,5.00,4.00,3.00,1.55,95.67,2.00,37.80
Portugal,14.00,14.00,125.00,26.00,151.00,241.00,"9,112,863.00","12,900,000.00","10,425.29","7,995,838.00","-18,181.00","2,685,845.00",4.30,3.80,4.80,"27,772.29",5.30,16.90,1.50,"26,570.00",4.56,783.00,"126,316.04","1,316,881,348.65","4,983.00","18,669.61",-,222.20,3.43,"20,500.00","1,300.00","20,200.00",800.69,87.50,258.60,59.00,139.71,7.18,3.50,179.00,"3,201,054.79",75.00,25.00,"164,321.00",183.00,3.56,0.00,138.00,51.00,"499,916.00","34,352.00",50.20,,Thailand,236.12,,35,,,2522921,11.7,83,55,22,4,60,0.00,0.66,10.00,71.26,5.00,7.00,4.00,0.72,66.67,1.00,44.10
Qatar,18.00,18.00,169.00,132.00,574.00,195.00,"2,990,058.00","4,680,000.00","3,048.42","2,280,000.00",-,-,1.40,1.00,1.50,-,2.50,3.90,0.70,-,-,-,-,-,-,"1,834.74","3,575.00",26.00,-,"2,850.00",-,"4,860.00",646.90,63.40,93.80,-,42.35,2.40,0.20,140.00,"3,881.00",15.00,6.00,"14,005.00",44.00,0.00,6.00,116.62,41.45,-,"2,016.00",3.40,,Ukraine,82.63,,32,,,1167546,7.5,51,58,23,-,59,0.00,-,4.00,-,-,0.00,3.00,-,33.33,-,36.90
Republic of Korea,28.00,24.00,385.00,37.00,244.00,237.00,"47,701,570.00","89,200,000.00","51,665.87","41,437,025.00","786,284.00","5,801,815.00",36.40,11.60,41.50,"756,368.41",46.40,137.80,13.30,"295,800.00",39.02,-,"201,730.20","10,432,999,774.22","12,260.00","75,086.83","1,310,076.00","1,139.35",-,"28,800.00","33,400.00","109,000.00","5,670.00","1,050.10","2,028.90",221.80,"1,017.36",32.11,12.50,"3,460.00","31,856,018.45",560.00,39.00,"410,622.00",930.00,3.00,5.00,"5,449.00","3,055.00","496,425.00","47,388.00","3,555.20",,United Arab Emirates,300.54,,37,,,15877300,40.8,75,68,42,213,82,6.20,0.71,20.00,"1,330.00",52.00,14.00,11.00,6.77,100.00,15.00,51.40
Romania,14.00,14.00,66.00,14.00,79.00,268.00,"15,994,570.00","22,800,000.00","18,836.35","14,185,031.00","128,214.00","3,949,904.00",6.60,7.00,10.00,"30,628.32",10.70,20.20,2.90,"32,300.00",7.46,"2,023.00","27,552.35","523,910,414.96","9,642.00","24,265.16","1,120.00",206.69,30.41,"15,900.00",-,"8,290.00","1,237.39",83.00,237.70,75.00,104.35,11.08,2.40,209.00,"9,864,514.25",33.00,19.00,"86,453.00",250.00,1.69,1.00,13.00,8.00,"280,975.00","28,357.00",71.60,,United Kingdom,117.49,,36,,,3080444,12.6,81,55,22,-,52,0.00,-,5.00,-,-,1.00,1.00,-,59.67,-,70.30
Russian Federation,16.00,16.00,167.00,19.00,45.00,91.00,"136,000,000.00","270,000,000.00","134,682.99","102,000,000.00",-,"32,761,807.00",45.00,24.60,86.20,"43,464.50",109.60,150.10,47.00,"157,230.00",55.69,-,"374,326.74","54,210,148,217.50","2,298.00","10,798.95",-,"1,577.69",-,"31,800.00",-,"63,500.00","5,610.00",637.00,"1,404.70",518.80,447.46,23.49,30.60,"3,500.00","543,155,078.90","5,350.00",17.00,"3,227,288.00","1,910.00",2.38,-,538.00,318.00,-,"213,682.00",287.70,,United States,253.34,,34,,,11585634,21.4,62,57,20,71,54,0.50,-,4.00,-,-,5.00,3.00,2.13,50.00,5.00,52.30
Rwanda,11.00,8.00,104.00,69.00,40.00,41.00,"4,519,802.00","13,300,000.00","14,079.79","1,070,000.00",-,-,1.20,0.60,1.60,-,4.10,0.50,0.30,"2,660.00",1.55,-,"4,336.15","61,818,626.01",-,77.01,-,12.13,4.26,"1,010.00",-,451.00,42.00,-,-,0.53,1.68,0.40,0.40,17.00,"32,719.00",15.00,1.00,"3,128.00",10.00,0.00,-,40.93,18.75,-,537.00,1.70,,Uzbekistan,76.12,,34,,,898164,4.2,60,34,2,-,44,0.00,-,2.00,-,-,2.00,0.00,-,66.67,-,36.90
Saudi Arabia,46.00,25.00,432.00,16.00,216.00,151.00,"33,813,658.00","54,200,000.00","33,962.76","23,503,593.00",-,"9,479,578.00",23.20,5.20,20.10,"173,572.70",24.40,117.30,34.10,"111,080.00",19.26,-,"104,483.05","3,548,532,751.22",-,"9,339.81","34,877.00",-,-,"12,600.00","1,000.00","141,000.00","3,518.63",124.40,456.50,132.70,216.59,13.83,5.70,458.00,"578,793.30","2,100.00",25.00,"127,704.00",617.00,1.00,134.00,14.00,6.00,-,"6,534.00",21.20,,Viet Nam,153.21,,35,,,8898242,25.9,69,63,23,96,64,0.00,0.7,4.00,26.00,3.00,21.00,3.00,4.70,66.67,3.00,60.40
Serbia,15.00,10.00,154.00,46.00,173.00,103.00,"5,622,235.00","8,180,000.00","6,655.38","5,123,486.00",-,"1,719,896.00",2.20,1.80,2.60,"11,579.62",3.80,4.30,1.20,"10,590.00",2.36,713.00,"44,623.70","300,594,881.92","4,391.00","9,850.12",-,511.86,-,"5,270.00",-,"1,610.00",237.33,21.60,53.00,3.83,25.42,1.81,3.60,114.00,"574,201.79",63.00,3.00,"19,980.00",81.00,1.00,-,10.00,7.00,"127,849.00","13,746.00",37.20,,,,,37,,,1448286,7.9,72,53,17,-,47,0.00,-,7.00,-,-,1.00,2.00,-,33.33,-,36.90
Singapore,14.00,14.00,203.00,76.00,200.00,410.00,"5,462,387.00","9,960,000.00","5,832.39","5,156,895.00",-,"1,606,407.00",4.00,2.00,4.60,"71,160.31",4.20,-,1.10,"62,810.00",4.42,275.00,-,-,"28,635.00","234,192.00","29,604.00",139.15,23.84,"47,800.00","87,800.00","141,000.00","1,482.79",174.90,304.60,61.90,399.65,5.94,2.10,568.00,"7,382,174.71",43.00,132.00,"133,192.00",121.00,5.15,2.00,254.00,94.00,-,"1,873.00",4.10,,,,,33,,,3551924,42.0,90,74,50,23,70,18.70,0.76,30.00,847.72,39.00,27.00,25.00,5.43,100.00,39.00,56.80
Slovakia,38.00,26.00,158.00,27.00,114.00,97.00,"4,889,866.00","7,710,000.00","5,451.69","4,229,630.00","92,777.00",-,2.20,2.00,3.00,-,2.80,4.40,0.80,"14,420.00",2.82,-,"204,234.88","1,124,672,467.79","2,432.00","6,315.00",-,112.23,8.92,"6,200.00",-,"2,240.00",706.88,-,-,6.36,112.85,6.10,1.50,154.00,"1,292,475.00",29.00,7.00,"29,772.00",84.00,2.00,3.00,7.00,0.00,"96,493.00","6,709.00",107.50,,,,,36,,,1310609,7.9,76,56,18,-,53,0.00,-,7.00,-,-,4.00,2.00,-,33.33,-,36.90
South Africa,23.00,14.00,67.00,41.00,66.00,48.00,"46,938,630.00","115,000,000.00","63,629.54","23,691,932.00",-,"18,159,935.00",22.80,8.80,16.80,"36,096.84",35.90,7.20,4.00,"35,540.00",15.95,-,-,-,-,"8,039.00","29,112.00",-,43.54,"45,200.00","1,600.00","67,600.00","1,549.83",114.50,396.60,100.70,104.35,10.54,8.00,685.00,"68,247,470.58",30.00,24.00,"268,214.00",527.00,3.44,350.00,205.00,54.00,-,"16,700.00",77.90,,,,,37,,,13505516,29.6,51,60,12,-,55,0.00,0.67,2.00,17.99,4.00,6.00,1.00,0.58,43.00,-,51.40
Spain,20.00,18.00,191.00,33.00,93.00,269.00,"46,060,833.00","62,400,000.00","47,766.79","40,365,022.00","-333,757.00","10,588,768.00",19.00,13.50,33.00,"120,760.64",40.30,81.30,8.70,"219,750.00",31.49,-,325.11,"15,576,192.41","20,913.00","94,029.00","35,530.00",757.42,23.70,"58,900.00","7,700.00","142,000.00","5,090.00",870.80,"1,357.40",316.70,784.21,27.92,10.00,"3,340.00","70,179,339.22",630.00,149.00,"1,108,394.00",935.00,24.39,174.00,881.00,328.00,"1,855,091.00","143,814.00",295.30,,,,,35,,,20026600,25.0,77,66,26,222,63,12.10,0.98,17.00,409.33,18.00,7.00,6.00,2.97,100.00,2.00,35.10
Sri Lanka,5.00,5.00,419.38,8.00,39.00,32.00,"11,269,414.00","30,600,000.00","22,502.87","7,054,020.00",-,-,3.40,1.60,3.60,-,11.00,1.10,2.50,"10,620.00",3.46,-,-,-,971.00,"1,620.00",154.00,85.99,9.08,"9,210.00",-,"2,860.00",164.37,-,-,8.99,10.76,0.82,2.20,53.00,"227,200.45",82.00,7.00,"55,736.00",175.00,0.00,-,44.45,19.80,-,"7,954.00",81.20,,,,,35,,,1524835,3.3,49,44,11,-,42,0.00,-,4.00,-,-,2.00,0.00,-,43.00,-,36.90
Sweden,17.00,17.00,258.00,67.00,150.00,198.00,"10,280,631.00","14,900,000.00","10,607.00","8,941,644.00","26,416.00","1,903,168.00",7.30,4.30,8.90,"78,482.95",6.50,-,4.70,"105,640.00",8.14,"2,209.00","249,463.07","2,646,054,783.49","23,065.00","91,477.00","160,346.00",303.06,12.65,"31,900.00","22,100.00","90,800.00","3,622.75",376.30,608.30,101.20,608.38,22.06,2.10,"1,552.00","6,177,113.15",5.00,48.00,"287,158.00",221.00,50.20,188.00,48.00,39.00,"1,611,498.00","115,246.00",83.00,,,,,37,,,3532131,34.1,82,67,26,63,75,0.50,0.64,17.00,"4,340.00",16.00,12.00,8.00,1.28,33.33,-,16.20
Switzerland,36.00,27.00,168.00,59.00,127.00,284.00,"8,553,983.00","11,600,000.00","8,921.98","7,245,565.00",-,"1,738,747.00",4.20,3.70,7.40,"103,196.83",4.50,11.10,2.30,"67,930.00",7.07,-,"179,871.45","1,604,809,659.34",-,"133,726.10","38,510.00",191.32,9.11,"51,400.00","9,800.00","172,000.00","3,856.84",329.10,764.90,78.70,874.28,9.90,3.00,951.00,"13,446,790.43",495.00,64.00,"124,507.00",204.00,6.19,1.00,37.00,16.00,"692,110.00","44,264.00",314.00,,,,,37,,,3104849,31.6,66,69,34,474,75,8.60,0.71,30.00,-,22.00,12.00,18.00,1.87,33.33,28.00,15.30
Thailand,26.00,21.00,263.00,49.00,136.00,276.00,"63,300,102.00","115,000,000.00","70,951.33","48,613,699.00",-,"18,833,319.00",30.70,10.10,25.40,"142,159.86",48.10,46.00,26.90,"189,410.00",24.54,-,"478,816.06","34,315,794,176.24",512.00,"18,522.00","45,549.00",184.28,6.45,"14,500.00","2,500.00","11,100.00","1,545.54",297.30,505.60,130.40,164.81,2.65,16.40,378.00,"16,179,340.16",92.00,51.00,"462,600.00",753.00,0.00,-,47.28,20.65,-,"43,179.00",114.00,,,,,37,,,7668477,21.3,64,56,25,-,59,0.10,-,3.00,-,-,2.00,1.00,-,33.33,-,100.00
Türkiye,18.00,18.00,169.00,43.00,67.00,72.00,"76,447,341.00","94,300,000.00","87,211.38","67,539,552.00","4,644,906.00","21,858,281.00",47.80,19.80,36.90,"108,660.08",62.80,62.10,14.60,"135,390.00",30.45,-,"165,541.80","14,480,571,960.26","4,694.00","15,443.00","3,188.00",345.53,21.43,"30,600.00","2,000.00","25,700.00","3,551.46",250.50,923.50,447.20,512.26,14.25,22.20,514.00,"83,060,576.59",650.00,49.00,"200,533.00","1,077.00",22.82,0.00,35.00,9.00,"1,615,230.00","140,026.00",85.10,,,,,36,,,12771176,13.3,64,53,16,7,61,0.50,0.81,8.00,513.06,5.00,2.00,3.00,2.16,50.00,-,78.40
Ukraine,23.00,23.00,263.00,47.00,46.00,91.00,"33,584,962.00","22,400,000.00","34,452.80","31,821,105.00",-,-,4.90,4.40,15.00,-,15.70,-,-,"21,880.00",14.38,-,-,-,"6,563.00","9,441.00","1,240.00",-,-,"10,500.00",-,"9,020.00",619.80,43.40,163.90,62.60,45.71,2.43,40.70,156.00,"14,243,469.65",34.00,1.00,"194,946.00",385.00,0.00,-,16.00,4.00,-,"18,081.00",46.90,,,,,33,,,3407420,11.0,64,52,17,-,52,0.00,-,5.00,-,-,2.00,1.00,-,59.67,-,44.10
United Arab Emirates,31.00,23.00,156.00,28.00,692.00,382.00,"11,027,129.00","84,100,000.00","11,027.13","10,480,000.00",-,"4,403,262.00",5.20,2.20,6.30,"66,279.00",8.40,37.40,5.40,"85,350.00",6.03,-,-,-,"8,596.00","32,562.00","19,206.00",214.79,12.41,"55,000.00","9,300.00","102,000.00","1,255.73",149.30,317.70,68.20,256.72,4.43,2.90,543.00,"507,887.51",276.00,48.00,"132,965.00",178.00,1.86,"1,972.00",90.21,33.53,-,"14,684.00",69.30,,,,,37,,,7057363,40.5,84,74,29,68,68,11.40,0.79,6.00,"1,770.00",8.00,13.00,11.00,1.31,33.33,9.00,24.30
United Kingdom,14.00,14.00,118.00,48.00,72.00,162.00,"66,243,609.00",-,"69,069.05","52,925,628.00","-2,290,270.00","13,989,202.00",48.20,21.70,55.90,"546,695.40",57.50,181.00,10.90,"722,580.00",49.35,"8,655.00",-,-,"47,444.00","551,985.80","99,511.00","1,682.49",36.54,"1,190,000.00","190,000.00","786,000.00","10,436.17","1,683.80","4,283.90",430.60,"2,032.85",119.94,21.50,"12,110.00","327,608,831.50",150.00,249.00,"2,050,321.00","1,652.00",50.64,"5,672.00",954.00,357.00,"1,572,174.00","135,835.00",664.90,,,,,36,,,26894756,50.3,70,72,27,85,76,9.50,1.13,32.00,"4,520.00",116.00,25.00,23.00,9.26,100.00,67.00,24.30
