Pillar,Sub -Pillar,#,Indicator,,Old Weights,New Weights,Algeria,Argentina,Australia,Austria,Bangladesh,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Czechia,Denmark,Dominican Republic,Ecuador,Egypt,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kenya,Kuwait,Malaysia,Mexico,Morocco,Netherlands,New Zealand,Nigeria,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Romania,Russian Federation,Rwanda,Saudi Arabia,Serbia,Singapore,Slovakia,South Africa,Spain,Sri Lanka,Sweden,Switzerland,Thailand,Türkiye,Ukraine,UAE,UK,USA,Uzbekistan,Viet Nam,,CoV
,,,AI commercial (tortoise),,,0.17,0.0,2.0,11.0,6.0,0.0,9.0,7.0,1.0,23.0,6.0,48.0,1.0,-,16.0,4.0,9.0,-,-,2.0,1.0,13.0,19.0,17.0,1.0,7.0,-,5.0,14.0,4.0,1.0,12.0,29.0,5.0,13.0,-,3.0,-,4.0,3.0,0.0,10.0,4.0,1.0,11.0,1.0,1.0,1.0,4.0,7.0,0.0,14.0,1.0,5.0,2.0,21,1,27.0,4.0,6.0,7.0,2.0,12.0,12.0,2.0,2.0,2.0,13.0,25.0,100.0,-,2.0,,1.55
,,,AI Innovation - Research (tortoise),,,0.25,1.0,1.0,14.0,9.0,1.0,6.0,3.0,2.0,15.0,1.0,54.0,0.0,-,2.0,4.0,7.0,-,-,2.0,0.0,9.0,18.0,16.0,0.0,5.0,-,2.0,10.0,7.0,1.0,5.0,17.0,7.0,8.0,-,0.0,-,3.0,1.0,1.0,10.0,4.0,1.0,7.0,1.0,0.0,0.0,3.0,4.0,3.0,11.0,1.0,3.0,0.0,3.0,2,25,2.0,1.0,6.0,0.0,8.0,18.0,1.0,3.0,1.0,11.0,23.0,100.0,-,1.0,,1.91
,,,AI Research and Development- score (vibrancy),,,0.25,-,-,5.8,0.3,-,0.2,3.6,-,8.7,-,89.9,-,-,-,-,0.2,-,-,-,-,0.7,7.6,10.6,-,-,-,-,36.8,-,-,0.4,1.4,4.0,7.2,-,-,-,1.5,0.6,-,2.5,0.0,-,0.5,-,-,-,1.6,0.4,-,9.2,-,2.4,-,6.2,-,7,-,0.2,3.7,-,1.2,2.0,-,2.5,-,1.2,12.8,100.0,-,-,,2.31
PROTECT,Preparedness,33,Cybersecurity Revenue in billion USD,,0.50,0.50,0.1,0.8,4.8,0.7,0.2,0.8,3.3,0.1,4.5,0.3,18.2,0.4,0.1,0.1,0.4,0.5,0.1,0.1,0.2,0.1,0.4,7.1,9.3,0.0,0.2,0.1,0.3,3.5,2.8,0.2,0.7,1.1,3.5,11.4,0.3,0.1,0.1,0.6,3.2,0.1,3.6,0.6,0.2,0.6,0.2,0.2,0.3,1.1,0.2,0.1,4.0,0.2,4,0,0.5,0.1,0.6,0.2,0.8,3.8,0.0,1.8,1.1,0.4,0.6,0.2,0.6,14.0,100.0,0.1,0.4,,3.89
,,34,Number of Secure servers,,0.50,0.50,0.0,0.0,0.1,0.0,0.1,0.0,1.4,0.0,0.3,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.7,0.0,0.0,0.0,0.0,11.1,1.0,0.0,0.0,0.0,0.5,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,2.4,0,0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.1,0.1,0.4,0.1,0.0,1.4,100.0,0.0,0.3,,6.03
,Risk of Attack,35,Ransomware attacks 30 day average,,0.50,0.33,94.2,99.0,98.0,98.9,98.9,99.8,58.0,98.0,99.1,99.5,62.5,94.8,99.9,99.9,99.7,99.8,99.9,99.7,0.0,99.8,99.0,97.7,90.7,99.8,98.8,100.0,99.7,95.4,95.1,99.4,99.8,100.0,82.7,90.9,97.3,99.7,99.8,97.7,94.6,98.9,99.1,99.5,99.8,100.0,97.2,97.0,96.7,99.4,99.0,99.8,91.9,99.6,22.2,99.8,69,99,99.4,99.6,99.6,90.9,98.9,100.0,92.8,98.7,90.6,99.5,96.0,97.9,-,98.7,97.8,,0.17
,,36,Ransomware victims,,,0.33,99.9,98.5,96.3,98.9,99.8,98.8,95.8,99.9,89.4,99.5,98.7,98.6,99.8,99.8,99.3,99.1,99.8,99.8,99.3,100.0,99.5,94.6,90.0,100.0,99.4,99.8,99.8,95.9,98.8,99.8,99.4,99.0,95.2,96.6,100.0,99.7,99.9,98.6,97.8,99.8,98.9,99.7,99.8,99.5,99.4,99.3,99.3,99.1,99.3,99.8,98.8,99.5,99.5,100.0,99.3,100,96,99.8,99.3,95.5,99.8,98.6,98.1,98.5,98.5,100.0,98.6,92.4,0.0,100.0,99.5,,0.12
,,37,Total number of email leaks,,0.50,0.33,99.8,98.3,97.3,99.7,99.3,98.5,96.4,99.9,94.4,99.6,98.0,99.2,99.9,100.0,99.8,99.8,99.9,99.9,100,100,99.9,71.8,87.0,99.9,99.8,99.9,99.7,79.8,97.8,100.0,99.8,98.3,98.0,98.0,99.9,99.9,100.0,99.6,98.7,99.7,98.6,99.8,99.5,99.8,99.4,99.7,99.1,99.0,99.5,100.0,98.9,99.8,91.0,100.0,99.7,100,100,99.9,99.3,96.9,99.9,99.2,99.7,98.7,99.4,99.5,99.6,94.3,0.0,100.0,95.2,,0.13
,AI,,Safety and security,,,0.33,11.9,90.7,100.0,82.4,11.9,56.0,78.0,56.0,56.0,41.0,100.0,33.9,50.2,11.9,56.0,100.0,11.9,56.0,78.0,56,12,100.0,78.0,33.9,56.0,2.6,33.9,78.0,56.0,33.9,33.9,56.0,78.0,100.0,11.9,100.0,28.2,11.9,0.0,11.9,56.0,46.7,56.0,56.0,56.0,56.0,56.0,94.3,56.0,11.9,100.0,46.7,33.9,56.0,56.0,11.9,100,12,24.7,100.0,24.7,11.9,11.9,11.9,33.9,46.7,11.9,100.0,100.0,11.9,11.9,,0.64
,,,Responsible AI - Conference Submissions on RAI Topics (Total),,,0.33,-,-,3.3,0.9,-,0.9,2.1,-,8.1,-,40.0,-,-,-,-,0.9,-,-,-,-,1,4,11.8,-,-,-,-,6.1,-,-,0.0,2.1,3.3,5.2,-,-,-,0.0,-,-,4.5,-,-,-,-,-,-,0.1,0.0,-,2.1,-,0.6,-,0.3,-,5.7,-,-,0.1,-,-,4.0,-,-,-,1.2,9.9,100.0,-,-,,2.53
,,,Public trust score,,,0.33,57.5,41.6,13.9,33.3,80.6,5.5,63.9,35.1,5.5,38.8,33.3,52.8,-,35.1,42.5,36.1,-,-,59.3,35.1,35.1,0,22,35.1,35.1,-,25.0,83.4,88.9,42.5,5.5,36.1,44.4,19.4,-,35.1,-,100.0,80.6,35.1,19.4,16.6,80.6,8.3,80.6,63.9,64.9,36.1,42.5,35.1,50.1,69.5,51.0,35.1,59.3,35.1,55.6,35.1,50,33,35.1,13.9,12.9,100.0,77.8,42.5,22.2,22.2,-,-,80.6,,0.56
SUSTAINABILITY,,38,E-waste generated (million kg),,0.20,0.17,97.3,95.8,95.2,98.6,97.0,98.0,79.8,99.3,93.7,98.2,0.0,96.9,99.5,99.6,98.6,99.0,99.3,99.2,94,99,99,88,85.4,99.5,98.5,99.3,98.9,65.8,84.4,97.9,99.2,98.9,90.8,78.2,98.5,99.4,99.5,96.7,87.6,98.6,96.9,99.2,96.0,98.9,95.4,98.2,95.6,95.8,98.6,99.7,92.4,98.0,84.2,100.0,95.0,99.4,99,99,95.7,92.3,98.6,98.2,98.4,93.8,91.1,96.9,98.6,86.4,40.5,99.0,95.8,,0.15
,,39,Number of energy and digital startups,,0.20,0.17,0.0,0.0,6.6,1.3,0.4,0.4,11.1,0.4,25.4,0.8,2.2,0.4,-,0.0,0.4,1.6,0.0,0.0,0,0,1,11,13,0.4,0.6,0.6,0.0,18.9,5.6,0.0,1.7,1.3,0.7,6.7,0.0,0.4,0.0,1.0,0.4,0.4,12.7,0.5,1.5,0.4,0.7,0.0,0.9,6.6,1.6,0.0,1.3,0.8,1.1,0.0,0.4,0.4,2.3,1,2,11.0,0.0,22.6,2.8,0.0,10.3,0.0,0.8,22.8,100.0,0.0,0.0,,2.84
,,40,VC investments in AI and environmental sustainability by country (USD million),,0.20,0.17,-,0.0,1.2,1.0,-,-,1.5,-,3.6,0.0,10.1,0.2,-,0.4,0.8,0.0,-,-,0,-,3,10,0,0,0.0,-,-,0.0,0.2,-,1.7,0.7,2.3,0.0,1.7,-,-,0.2,5.1,-,0.0,-,0.2,0.0,0.0,-,-,0.4,0.0,0.1,0.1,0.0,-,-,2.4,-,0.0,0.1,6,3,-,3.3,0.0,-,0.0,-,34.8,100.0,100.0,-,-,,3.26
,,41,Patents filed (2000-2024) in Smart Grids,,0.20,0.17,0.0,0.2,5.2,0.7,-,0.1,2.2,0.0,5.6,0.2,100.0,0.1,0.0,0.1,0.1,0.9,0.0,0.0,0,0,0,2,8,0,0,0.0,0.2,0.2,0.0,0.1,0.0,0.5,0.4,29.0,0.0,0.1,0.2,0.3,1.7,0.1,0.1,0.5,0.1,0.2,0.1,0.0,0.3,0.8,0.4,0.3,15.4,0.0,1.5,0.1,0.0,0.0,0.7,0.0,0.6,2,0,0.1,0.1,0.1,0.1,0.0,0.3,2.7,52.7,0.1,0.1,,4.05
,,42,"Total renewable energy production (GWh)",,0.50,0.17,0.0,2.2,3.2,2.1,0.1,1.0,22.2,0.3,14.7,2.0,100.0,2.2,0.4,0.4,0.4,1.0,0.2,0.9,1,1,1,5,9,0,1,0,0,13,2.3,0.1,0.5,0.3,4.1,8.0,0.5,0.4,0.0,1.2,2.5,0.3,2.0,1.4,0.3,5.3,1.6,1.2,0.9,1.6,1.2,0.1,1.7,1.0,7.5,0.0,0.2,0.5,0.1,0.2,0.6,5.1,0.3,4,2,1.5,4.9,0.6,0.5,4.8,33.8,0.3,4.2,,3.06
,,43,Relative Average Annual Loss by Climate (USD million),,0.50,0.17,99.5,99.5,95.5,98.1,98.9,98.8,97.9,99.9,98.9,97.8,69.2,99.0,99.6,99.7,99.1,99.7,98.8,99.6,99.8,100,100,95,87,100,99,100,99,95,99,99.8,99.7,99.7,93.3,0.0,99.7,99.9,99.9,99.7,92.4,99.9,97.2,98.9,99.7,99.9,99.4,99.7,96.4,98.5,99.7,100.0,77.5,99.6,98.2,100.0,99.9,99.8,100.0,99.3,99.5,98.1,99.5,99.5,98,99,99.5,99.7,99.6,95.8,14.4,99.9,99.4,,0.17
CHIPS (average all 50 indicators),,,,,,,19.4,20,21,19,23,18,26,20,24,21,63,21,24,20,19,21,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
"SUB-PILLAR SCORE (weighted average, where weights for indiactors within a sub-pillar add up to 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!
C,Affordability,,,,0.3,0.3,62.0,49.1,61.3,83.5,84.3,62.7,84.2,58.2,64.4,72.3,74.4,68.5,75.0,82.0,62.4,75.3,49.3,44.6,62.3,94.4,70.2,83.5,69.0,93.8,68.0,60.4,60.1,79.3,77.3,59.8,73.3,84.6,52.6,57.8,54.4,76.3,57.2,65.4,82.3,88.4,60.2,82.4,79.2,40.7,93.4,78.8,67.7,82.0,83.1,57.6,53.5,88.7,79.8,81.5,45.4,79.6,69.6,63.0,79.6,72.9,78.0,64.8,57.1,61.3,73.4,61.9,67.9,79.6,39.0,79.2,77.9,,0.19
,Quality,,,,0.3,0.3,8.2,16.2,27.6,20.3,8.8,24.2,44.7,30.3,38.9,48.1,37.5,26.9,22.5,24.3,16.2,45.3,18.9,20.5,12.6,0.0,29.1,52.6,16.2,8.2,19.2,13.5,34.3,15.2,7.1,7.8,27.1,37.7,18.3,32.1,15.5,3.0,57.0,28.9,12.4,13.8,39.1,33.6,5.1,31.0,1.7,32.1,14.6,32.3,39.1,64.3,45.4,37.2,12.5,5.8,32.5,23.3,64.0,18.3,8.6,38.4,4.6,33.6,42.8,42.4,11.7,12.5,96.5,23.4,50.7,12.9,47.0,,0.66
,Access,,,,0.3,0.3,2.7,3.1,1.7,0.5,8.3,0.6,13.0,0.3,2.6,1.2,99.7,3.6,0.1,0.1,0.6,0.3,0.5,0.8,6.4,2.7,0.2,4.7,6.0,1.9,0.5,0.8,0.5,72.8,17.9,2.6,0.2,0.5,4.2,8.6,1.3,2.9,0.2,2.5,8.0,2.4,1.2,0.2,8.6,0.3,9.7,2.0,7.0,2.6,0.5,0.0,3.9,1.1,11.1,0.3,2.4,0.3,0.3,0.2,4.0,3.4,1.0,0.6,0.5,5.1,5.9,2.2,1.6,5.0,25.1,2.1,7.0,,2.58
,AI,,,,,0.3,6.5,10.3,22.9,13.1,7.7,12.6,25.9,9.0,26.5,14.6,84.7,11.1,3.3,7.5,11.5,12.2,1.5,3.2,9.4,2.4,17.3,32.6,34.4,5.4,9.3,2.7,10.3,55.0,16.6,5.3,20.0,15.6,23.9,36.6,3.7,4.5,1.9,17.0,12.9,7.6,27.9,11.4,7.0,14.6,8.9,8.6,11.1,20.6,10.9,9.5,30.5,11.3,15.2,1.1,17.5,7.7,31.9,8.0,15.9,19.8,3.9,20.8,22.5,16.3,11.0,9.1,24.7,30.6,80.7,2.4,13.6,,0.93
H,App and platform economy,,,,1.5,0.2,1.5,2.5,2.7,0.6,2.6,0.9,11.9,0.2,3.7,1.5,87.7,2.1,0.2,0.1,0.4,0.6,0.4,0.5,3.0,2.9,0.4,4.9,7.1,0.8,0.8,0.5,0.4,42.8,11.0,1.7,0.4,0.7,3.6,11.9,0.6,1.1,0.1,1.9,6.4,1.1,1.4,0.3,4.1,0.6,5.0,1.3,3.8,1.8,0.6,0.1,5.5,1.1,7.1,0.1,2.3,0.2,0.5,0.3,2.6,3.2,0.4,0.9,0.8,3.5,5.0,1.2,0.7,6.6,43.8,0.9,4.0,,2.64
,Data Intensity,,,,0.3,0.2,1.2,0.6,1.9,0.9,2.4,0.5,4.2,0.4,2.4,1.6,100.0,0.9,0.2,0.3,0.6,0.6,0.3,0.2,1.1,0.1,0.8,4.3,4.7,0.3,0.5,0.3,0.4,33.6,6.5,1.1,0.4,0.6,3.5,7.5,1.0,0.3,0.6,2.5,2.5,1.0,0.6,0.3,1.2,0.2,2.6,1.5,3.3,2.7,0.6,0.1,5.0,0.8,10.1,0.0,7.5,0.2,0.2,0.2,0.7,3.1,0.3,1.3,0.5,4.9,3.5,-,1.6,5.6,36.8,1.7,5.0,,3.10
,Fintech,,,,0.3,0.2,-,1.9,1.9,0.4,1.1,0.7,9.0,0.1,2.8,0.8,100.0,-,0.0,0.0,0.4,0.4,0.2,0.2,1.5,0.5,0.4,4.0,4.4,0.5,0.2,0.1,0.2,25.5,6.4,0.6,0.3,0.4,2.5,7.7,0.4,0.3,0.1,1.1,6.0,0.6,1.2,0.2,1.8,0.5,1.0,-,1.7,1.4,0.3,-,3.3,0.4,3.5,0.0,1.4,0.1,0.4,0.1,0.9,2.6,0.1,0.8,0.6,2.1,2.1,0.7,0.6,6.0,36.3,0.5,1.6,,3.43
,Real Economy,,,,0.3,0.2,0.3,2.9,5.4,3.8,1.9,7.4,15.1,1.3,11.5,1.8,30.1,3.3,0.9,0.8,2.5,3.4,0.5,0.5,2.0,0.7,2.7,20.7,31.8,1.0,3.7,0.3,2.2,70.1,9.1,0.1,29.8,6.6,9.9,38.6,0.4,1.2,0.9,10.4,5.3,1.0,17.4,0.6,1.2,2.3,3.9,1.0,5.3,8.5,2.7,0.2,13.0,2.9,12.3,0.0,1.1,4.3,15.3,1.1,1.0,11.3,0.6,7.8,9.5,2.4,3.4,1.1,3.5,46.2,95.3,0.5,11.2,,1.79
,AI,,,,,0.2,0.3,18.9,30.8,23.8,10.1,16.9,32.1,25.9,39.6,22.3,23.1,22.3,-,18.9,21.8,31.0,-,-,14.8,8.6,32.1,39.1,40.8,14.0,15.5,-,28.9,46.0,27.1,9.1,25.8,32.8,29.0,28.5,-,17.7,-,34.3,28.1,27.3,33.0,21.6,15.1,29.3,8.5,19.8,24.7,32.0,28.3,13.4,29.9,29.8,19.5,17.5,21.8,25.7,42.4,27.8,13.5,35.8,12.3,29.5,29.4,20.1,22.7,20.7,32.6,38.5,93.9,-,12.5,,0.50
I,Investments and Startups,,,,0.3,0.3,0.0,0.3,4.3,0.6,0.4,0.9,2.0,0.2,6.5,0.3,13.1,0.4,0.1,0.7,0.4,0.7,0.0,0.1,0.2,0.0,0.6,3.6,16.9,0.2,0.4,0.0,0.3,18.7,1.0,0.0,0.8,1.3,1.9,1.4,0.1,0.4,0.1,0.7,0.8,0.1,2.2,0.9,0.6,0.5,0.8,0.2,0.4,1.1,0.5,0.1,1.3,0.6,1.3,0.0,0.6,0.2,2.4,0.2,1.2,1.8,0.3,1.2,1.7,0.4,0.8,0.4,1.6,32.2,100.0,0.0,0.4,,3.80
,Other Emerging Technology,,,,0.3,0.3,1.0,4.8,6.6,2.3,1.4,3.7,10.7,0.8,7.9,1.5,68.3,2.5,0.3,0.4,1.7,1.6,0.3,0.6,2.1,2.2,1.0,11.0,17.5,1.2,1.2,0.2,1.1,28.3,15.6,1.3,1.2,1.2,7.5,14.4,1.1,1.3,0.2,1.8,7.5,1.6,4.7,0.9,13.2,1.5,6.7,1.6,5.7,3.5,1.3,0.2,7.2,1.2,9.8,0.0,2.5,0.6,1.6,0.7,2.3,6.5,0.5,2.8,3.1,3.9,7.4,6.3,1.5,14.0,91.5,1.6,10.5,,2.16
,AI,,,,,0.3,0.5,1.5,7.2,3.7,0.5,3.2,3.2,1.5,11.0,3.5,46.9,0.5,-,9.0,4.0,3.5,-,-,2.0,0.5,4.8,10.9,10.8,0.5,6.0,-,3.5,15.3,5.5,1.0,3.5,10.2,3.9,6.7,-,1.5,-,1.8,0.9,0.5,5.3,1.7,1.0,3.9,1.0,0.5,0.5,1.9,2.3,1.5,8.4,1.0,3.9,1.0,5.8,1.5,13.3,3.0,1.3,3.9,1.0,5.2,12.0,1.5,1.8,1.5,5.6,15.6,100.0,-,1.5,,2.19
P,Preparedness,,,,0.3,0.3,0,0,2,0,0,0,2,0,2,0,15,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,7,2,0,0,1,2,7,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,2,0,3,0,0,0,0,0,1,2,0,1,1,0,0,0,0,8,100,0,0,,4.70
,Risk of Attack,,,,0.3,0.3,98.0,98.6,97.2,99.2,99.4,99.0,83.4,99.3,94.3,99.5,86.4,97.5,99.8,99.9,99.6,99.6,99.8,99.8,66.3,99.9,99.5,88.0,89.3,99.9,99.3,99.7,99.7,90.3,97.2,99.7,99.7,99.1,92.0,95.2,99.1,99.8,99.9,98.6,97.0,99.5,98.8,99.7,99.7,99.8,98.7,98.6,98.4,99.2,99.3,99.9,96.5,99.6,70.9,99.9,89.5,99.7,98.4,99.8,99.4,94.4,99.5,99.2,96.9,98.6,96.2,99.7,98.1,94.9,0.0,99.6,97.5,,0.14
,AI,,,,,0.3,34.7,66.2,39.1,38.9,46.2,20.8,48.0,45.6,23.2,39.9,57.8,43.4,-,23.5,49.3,45.7,-,-,68.6,45.6,15.9,34.5,37.3,34.5,45.6,-,29.4,55.8,72.4,38.2,13.2,31.4,41.9,41.6,-,67.6,-,37.3,40.3,23.5,26.6,31.7,68.3,32.1,68.3,59.9,60.4,43.5,32.8,23.5,50.7,58.1,28.5,45.6,38.5,23.5,53.8,23.5,37.4,44.5,29.9,12.9,9.6,55.9,55.9,44.6,11.8,44.0,100.0,-,46.2,,0.41
S,,,,,0.25,,39.4,33.0,34.5,33.6,49.1,39.7,35.8,40.0,40.3,33.2,46.9,33.1,49.9,33.4,33.2,33.7,39.6,40.0,32.6,40.0,34.3,34.9,33.7,33.4,33.2,40.0,39.7,32.1,31.9,39.6,33.8,33.5,31.9,20.3,33.4,40.0,39.9,33.2,31.6,39.9,34.8,40.1,33.0,34.1,32.9,39.8,38.8,34.0,33.6,33.4,31.4,33.2,38.5,40.0,33.0,40.0,33.7,33.3,34.0,35.3,39.7,38.0,33.5,39.0,34.3,39.5,39.1,52.1,56.9,39.9,39.9,,0.15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PILLAR SCORE (weighted average, where weights for all sub-pillars within a pillar add up to 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,,,,,0.25,0.25,19.8,19.7,28.4,29.3,27.3,25.0,41.9,24.4,33.1,34.0,74.1,27.5,25.2,28.5,22.7,33.3,17.6,17.3,22.7,24.9,29.2,43.4,31.4,27.3,24.3,19.4,26.3,55.6,29.7,18.9,30.1,34.6,24.7,33.8,18.7,21.7,29.1,28.4,28.9,28.1,32.1,31.9,25.0,21.7,28.5,30.4,25.1,34.4,33.4,32.8,33.3,34.6,29.6,22.2,24.5,27.7,41.4,22.4,27.0,33.6,21.9,30.0,30.7,31.3,25.5,21.4,47.7,34.7,48.9,24.2,36.4,,
H,,,,,0.25,0.25,0.8,5.3,8.5,5.9,3.6,5.3,14.5,5.6,12.0,5.6,68.2,7.1,0.3,4.0,5.2,7.2,0.3,0.3,4.5,2.6,7.3,14.6,17.8,3.3,4.2,0.3,6.4,43.6,12.0,2.5,11.4,8.2,9.7,18.9,0.6,4.1,0.4,10.1,9.7,6.2,10.7,4.6,4.7,6.6,4.2,5.9,7.8,9.3,6.5,3.4,11.4,7.0,10.5,3.5,6.8,6.1,11.8,5.9,3.7,11.2,2.8,8.0,8.2,6.6,7.3,6.0,7.8,20.6,61.2,0.9,6.8,,
I,,,,,0.25,0.25,0.5,2.2,6.0,2.2,0.8,2.6,5.3,0.8,8.5,1.8,42.7,1.1,0.2,3.3,2.0,1.9,0.2,0.3,1.5,0.9,2.1,8.5,15.1,0.6,2.5,0.1,1.6,20.8,7.4,0.8,1.8,4.2,4.5,7.5,0.6,1.1,0.2,1.4,3.1,0.7,4.1,1.1,5.0,2.0,2.8,0.8,2.2,2.1,1.4,0.6,5.6,0.9,5.0,0.3,3.0,0.7,5.8,1.3,1.6,4.0,0.6,3.1,5.6,1.9,3.3,2.7,2.9,20.6,97.2,0.8,4.1,,
P,,,,,0.125,0.125,44.2,55.1,46.2,46.1,48.6,40.1,44.6,48.3,40.0,46.5,53.1,47.0,50.0,41.2,49.7,48.5,50.0,49.9,45.0,48.5,38.5,42.2,44.5,44.8,48.3,49.9,43.1,51.1,57.2,46.0,37.7,43.7,45.3,47.8,49.6,55.8,50.0,45.4,46.3,41.0,42.5,43.9,56.0,44.1,55.7,52.9,53.0,47.8,44.1,41.2,49.8,52.6,34.2,48.5,42.7,41.1,50.8,41.1,45.8,47.0,43.1,37.7,35.7,51.6,50.8,48.1,36.7,48.9,66.7,49.8,48.0,,
S,,,,,0.125,0.125,39.4,33.0,34.5,33.6,49.1,39.7,35.8,40.0,40.3,33.2,46.9,33.1,49.9,33.4,33.2,33.7,39.6,40.0,32.6,40.0,34.3,34.9,33.7,33.4,33.2,40.0,39.7,32.1,31.9,39.6,33.8,33.5,31.9,20.3,33.4,40.0,39.9,33.2,31.6,39.9,34.8,40.1,33.0,34.1,32.9,39.8,38.8,34.0,33.6,33.4,31.4,33.2,38.5,40.0,33.0,40.0,33.7,33.3,34.0,35.3,39.7,38.0,33.5,39.0,34.3,39.5,39.1,52.1,56.9,39.9,39.9,,
P+S,,,,,0.25,,41.8,44.0,40.4,39.9,48.8,39.9,40.2,44.1,40.1,39.8,50.0,40.1,49.9,37.3,41.5,41.1,44.8,44.9,38.8,44.3,36.4,38.6,39.1,39.1,40.8,44.9,41.4,41.6,44.5,42.8,35.8,38.6,38.6,34.1,41.5,47.9,44.9,39.3,39.0,40.4,38.6,42.0,44.5,39.1,44.3,46.4,45.9,40.9,38.8,37.3,40.6,42.9,36.4,44.3,37.9,40.6,42.3,37.2,39.9,41.2,41.4,37.8,34.6,45.3,42.6,43.8,37.9,50.5,61.8,44.8,44.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Connect Rank,,,,65.0,66.0,38.0,31.0,43.0,49.0,6.0,54.0,19.0,13.0,1.0,41.0,47.0,35.0,58.0,18.0,70.0,71.0,57.0,51.0,32.0,5.0,23.0,42.0,55.0,67.0,45.0,2.0,29.0,68.0,27.0,10.0,52.0,14.0,69.0,62.0,33.0,37.0,34.0,39.0,21.0,22.0,50.0,63.0,36.0,26.0,48.0,12.0,16.0,20.0,17.0,11.0,30.0,60.0,53.0,40.0,7.0,59.0,44.0,15.0,61.0,28.0,25.0,24.0,46.0,64.0,4.0,9.0,3.0,56.0,8.0,,
,,,Harness Rank,,,,65.0,46.0,21.0,42.0,57.0,47.0,8.0,45.0,10.0,44.0,1.0,30.0,70.0,55.0,48.0,29.0,69.0,68.0,51.0,62.0,28.0,7.0,6.0,60.0,53.0,71.0,37.0,3.0,9.0,63.0,12.0,22.0,18.0,5.0,66.0,54.0,67.0,17.0,19.0,38.0,15.0,50.0,49.0,35.0,52.0,41.0,26.0,20.0,36.0,59.0,13.0,31.0,16.0,58.0,33.0,39.0,11.0,43.0,56.0,14.0,61.0,24.0,23.0,34.0,27.0,40.0,25.0,4.0,2.0,64.0,32.0,,
,,,Innovate Rank,,,,65.0,32.0,10.0,33.0,56.0,30.0,14.0,54.0,7.0,42.0,2.0,50.0,68.0,22.0,37.0,39.0,70.0,66.0,45.0,53.0,36.0,6.0,5.0,61.0,31.0,71.0,43.0,3.0,9.0,57.0,41.0,18.0,17.0,8.0,64.0,51.0,69.0,46.0,24.0,59.0,20.0,49.0,16.0,38.0,28.0,58.0,34.0,35.0,47.0,63.0,12.0,52.0,15.0,67.0,26.0,60.0,11.0,48.0,44.0,21.0,62.0,25.0,13.0,40.0,23.0,29.0,27.0,4.0,1.0,55.0,19.0,,
,,,P + S Rank,,,,29.0,21.0,42.0,47.0,5.0,48.0,43.0,20.0,44.0,49.0,3.0,45.0,4.0,64.0,32.0,36.0,14.0,11.0,55.0,19.0,67.0,60.0,51.0,52.0,38.0,12.0,34.0,30.0,15.0,25.0,69.0,58.0,59.0,71.0,31.0,6.0,10.0,50.0,54.0,41.0,57.0,28.0,16.0,53.0,17.0,7.0,8.0,37.0,56.0,65.0,39.0,24.0,68.0,18.0,62.0,40.0,27.0,66.0,46.0,35.0,33.0,63.0,70.0,9.0,26.0,23.0,61.0,2.0,1.0,13.0,22.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
