BLOC, Country                 , Price of mobile data and voice basket (HC)  (% of GNI PC), Price of mobile data and voice basket (HC)  (% of GNI PC), Price of cheapest smartphone (% of GNI per capita), Price of fixed broadband internet (% of GNI), Median Mobile Download Speeds (Mbps), Median Fixed Broadband Download Speed (Mbps), % of population using the internet, Mobile Cellular Subscriptions per 100 population, % of Population covered by LTE, % of population using smartphones users, % of internet users (16-64 years) using social media for work related activities, Percent of internet users using digital food delivery platforms, Percent of internet users using digital health applications, Percent of internet users using e-commerce users, Consumer Spend per internet user on Mobile Apps (millions USD)  PPP per internet user, Percent of internet users using video on demand users, Fixed-broadband Internet traffic per subscriber (GB), Mobile broadband internet traffic (GB per subscription), Value of digital payment transactions (PPP$ adjusted) per internet user, % of internet users who made or received a digital payment, Total digitally delivered services (million USD) as percent of GDP USD, ICT sector employment (% of Total Labour force), Number of Start-ups per limited liability company, Valuation of Unicorns as a percent of GDP, Total funding till date of Startups having their Head Quarters or atleast one office location in India per startup (Millions of USD), Consumer IoT revenues (USD PPP$ adjusted) per internet user, AR/ VR revenues (PPP$ adjusted) per smartphone user, Metaverse revenue (PPP$ adjusted) per smartphone user, DeFi revenue (millions of USD PPP$ adjusted) per internet user, Robotics revenue (millions of USD), Drones revenue (millions of USD), Crypto Index Score, "Cybersecurity revenue (PPP exchange rate adjusted ) in million $ , per internet users", Number of Secure servers per internet user, Ransomware attacks detected per month as a % of internet users, Ransomware victims per million internet users, Total number of email leaks (Quarterly average) (2022 Q3 - 2025 Q3), E-waste generated (kg per capita) - directly from source, E-waste generated (kg per internet user) - calculated as total divided by internet users, Share of energy startups that are digital, VC investments in AI and environmental sustainability by country (USD million) per capita, Patents filed (2000-2023) in Smart Grids as a % of enabling tech patents, Patents filed (2000-2023) in Information/Communication Technologies for Electromobility as a % of total patents filed, Share of total electricity generated that is renewable, Renewable energy share of electricity production (%), Relative AAL by Climate (% of Exposed value) for the Telecom Sector - Existing Climate, , , , , , , , , , , , , Number of AI users, Compute capacity, Open Data Score, AI Infrastructure, AI Infrastructure, Compute Capacity (Rmax) in Millions, Apps and Platforms, Development: Open Source models score, Relative AI Skill Penetration, AI Talent Pillar Score, Total AI Private Investment in Millions, Newly Funded AI Companies, AI commercial, AI Innovation - Research, AI Research and Development- score, Safety and security, Responsible AI - Conference Submissions on RAI Topics (Total), Public trust score
    , Finland                 ,                                                      0.60,                                                      0.40, 0.02                                              ,                                         1.00,                               147.00,                                       164.00,                               0.94, 126.00                                          ,                         100.00,                                    0.98, -                                                                               ,                                                           60.72,                                                       55.03,                                            85.39, "7,017.38"                                                                           ,                                                 62.62, "3,318.69"                                          , 531.70                                                 , "11,555.13"                                                            , 81.40                                                     ,                                                                   9.81, 4.55                                           , 39.00                                            , 4.99                                     , 2.30                                                                                                                                ,                                                      249.00, 33.20                                              , 83.76                                                , 8.00                                                          ,                              39.00,                             2.21,               2.00,                                                                                   82.49,                                       1.07, 0.0014000                                                     ,                                          3.04,                                                                7.07,                                                    21.30,                                                                                    22.39, 0.13                                     , "35,070.16"                                                                              ,                                                                     0.06, 0.06                                                                                                                 , 0.18                                                  ,                                                51.90,                                                                                   0.02, , , , , , , , , , , , ,              27.80,            19.27,           89.00,             61.63, 33.00            , 391.39                             ,              73.78, 6.70                                 , 0.53                         , 17.00                 , 0.02                                   , 0.03                     , 13.00        , 9.00                    , 0.92                              ,               33.33, 5.00                                                         , 36.90
G20 , France                  ,                                                      0.30,                                                      0.30, 0.01                                              ,                                         0.90,                               150.00,                                       349.00,                               0.93, -                                               ,                          99.00,                                    0.90, 18.70                                                                           ,                                                           51.15,                                                       34.59,                                            68.85, "6,506.22"                                                                           ,                                                 85.09, -                                                   , 204.90                                                 , "9,326.35"                                                             , 65.98                                                     ,                                                                   6.75, 3.25                                           , 28.00                                            , 2.31                                     , 3.39                                                                                                                                ,                                                      222.00, 46.80                                              , 78.83                                                , 6.00                                                          ,                              45.00,                             3.92,              11.00,                                                                                  139.74,                                       4.24, 0.0003000                                                     ,                                          2.91,                                                              163.67,                                                    22.40,                                                                                    23.47, 0.18                                     , "8,159.46"                                                                               ,                                                                     0.03, 0.04                                                                                                                 , 0.10                                                  ,                                                26.60,                                                                                   0.10, , , , , , , , , , , , ,              44.00,            51.11,           63.00,             76.27, 31.00            , 298.09                             ,              70.44, 40.00                                , 0.98                         , 25.00                 , 0.08                                   , 0.02                     , 19.00        , 18.00                   , 5.69                              ,              100.00, 25.00                                                        , 2.70
G20 , Germany                 ,                                                      0.20,                                                      0.20, 0.05                                              ,                                         0.70,                                77.00,                                       102.00,                               0.94, 129.00                                          ,                         100.00,                                    0.90, 17.50                                                                           ,                                                           60.21,                                                       37.51,                                            71.50, "7,528.99"                                                                           ,                                                 87.18, "3,863.94"                                          , 116.40                                                 , "5,621.77"                                                             , 68.32                                                     ,                                                                   6.58, 4.06                                           , 948.00                                           , 1.84                                     , 0.46                                                                                                                                ,                                                      264.00, 44.20                                              , 78.05                                                , 8.00                                                          ,                              74.00,                             2.20,              11.00,                                                                                  129.23,                                      13.47, 0.0008000                                                     ,                                          4.11,                                                               58.27,                                                    21.20,                                                                                    22.16, 0.41                                     , 35.48                                                                                    ,                                                                     0.02, 0.05                                                                                                                 , 0.17                                                  ,                                                52.80,                                                                                   0.09, , , , , , , , , , , , ,              28.60,            56.98,           79.00,             73.28, 32.00            , 399.73                             ,              74.10, 10.60                                , 0.98                         , 35.00                 , 0.04                                   , 0.10                     , 17.00        , 16.00                   , 7.74                              ,               83.33, 80.00                                                        , 24.30
    , Ghana                   ,                                                      3.80,                                                      0.70, -                                                 ,                                         3.70,                                50.00,                                        54.00,                               0.63, 114.00                                          ,                          99.00,                                    0.87, 61.10                                                                           ,                                                           18.31,                                                       10.98,                                            43.02, 697.19                                                                               ,                                                 54.00, "1,857.99"                                          , 111.50                                                 , "1,447.82"                                                             , 44.99                                                     ,                                                                   6.62, 0.80                                           , 21.00                                            , -                                        , 0.93                                                                                                                                ,                                                       27.00, -                                                  , -                                                    , -                                                             ,                               1.00,                             0.33,               5.00,                                                                                    7.09,                                       0.00, 0.0001000                                                     ,                                          0.05,                                                                1.26,                                                     2.20,                                                                                     3.30, 1.00                                     , 58.09                                                                                    ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                36.20,                                                                                   0.04, , , , , , , , , , , , ,               9.30,             6.59,           54.00,             46.12, 11.00            , -                                  ,              47.92, 0.00                                 , -                            , 1.00                  , -                                      , -                        , 1.00         , 0.00                    , -                                 ,               50.00, -                                                            , 36.90
    , Greece                  ,                                                      0.80,                                                      0.70, 0.04                                              ,                                         1.50,                               136.00,                                        92.00,                               0.89, 113.00                                          ,                         100.00,                                    0.90, 40.70                                                                           ,                                                           35.89,                                                       69.53,                                            52.71, "4,978.79"                                                                           ,                                                 56.08, "2,856.61"                                          , 205.00                                                 , "4,396.46"                                                             , 49.91                                                     ,                                                                   3.09, 9.62                                           , 84.00                                            , 1.28                                     , 1.56                                                                                                                                ,                                                      149.00, 21.10                                              , 41.94                                                , 21.00                                                         ,                              11.00,                             0.31,               3.00,                                                                                   30.21,                                       0.18, 0.0010000                                                     ,                                          2.24,                                                                9.79,                                                    18.60,                                                                                    21.76, 1.00                                     , 199.05                                                                                   ,                                                                     0.05, 0.03                                                                                                                 , 0.14                                                  ,                                                48.90,                                                                                   0.23, , , , , , , , , , , , ,              19.10,             9.40,           51.00,             52.39, 20.00            , -                                  ,              53.70, 0.30                                 , -                            , 10.00                 , -                                      , -                        , 7.00         , 5.00                    , -                                 ,               66.67, -                                                            , 36.90
    , Guatemala               ,                                                      2.90,                                                      2.90, 0.06                                              ,                                         5.60,                                59.00,                                        91.00,                               0.66, 112.00                                          ,                          99.00,                                    0.55, -                                                                               ,                                                           21.51,                                                       14.06,                                            34.75, -                                                                                    ,                                                101.75, "2,928.91"                                          , 89.30                                                  , "2,174.48"                                                             , 30.03                                                     ,                                                                   1.36, 0.49                                           , 8.00                                             , -                                        , 2.00                                                                                                                                ,                                                       75.00, -                                                  , -                                                    , 2.00                                                          ,                               5.00,                             0.96,               0.00,                                                                                   14.00,                                       0.00, 0.0000000                                                     ,                                          0.58,                                                                3.48,                                                     5.20,                                                                                     7.61, 1.00                                     , -                                                                                        ,                                                                     0.00, 0.00                                                                                                                 , -                                                     ,                                                68.90,                                                                                   0.49, , , , , , , , , , , , ,              14.80,             6.24,           55.00,             37.87, -                , -                                  ,              14.46, -                                    , -                            , -                     , -                                      , -                        , -            , -                       , -                                 ,               26.33, -                                                            , -
    , Hungary                 ,                                                      1.20,                                                      0.70, 0.06                                              ,                                         0.90,                                87.00,                                       240.00,                               0.92, 104.00                                          ,                          99.00,                                    0.93, 28.30                                                                           ,                                                           42.54,                                                       30.23,                                            52.62, "4,681.23"                                                                           ,                                                 64.94, "2,825.69"                                          , 193.60                                                 , "4,415.54"                                                             , 40.31                                                     ,                                                                   7.04, 3.64                                           , 21.00                                            , -                                        , 0.95                                                                                                                                ,                                                      143.00, 24.30                                              , 38.92                                                , 13.00                                                         ,                              23.00,                             1.10,               3.00,                                                                                   49.32,                                       0.57, 0.0003000                                                     ,                                          0.67,                                                               13.75,                                                    14.30,                                                                                    15.45, 0.00                                     , -                                                                                        ,                                                                     0.03, 0.07                                                                                                                 , 0.05                                                  ,                                                26.40,                                                                                   0.25, , , , , , , , , , , , ,              29.80,             8.98,           78.00,             56.02, 23.00            , -                                  ,              51.29, 0.00                                 , -                            , 7.00                  , -                                      , -                        , 5.00         , 2.00                    , -                                 ,               50.00, -                                                            , 27.00
G20 , India                   ,                                                      1.30,                                                      1.00, 0.32                                              ,                                         2.50,                               132.00,                                        62.00,                               0.55, 79.00                                           ,                          99.00,                                    0.58, 41.80                                                                           ,                                                           54.52,                                                       17.68,                                            48.90, 419.00                                                                               ,                                                 64.87, "2,564.59"                                          , 241.20                                                 , "9,332.00"                                                             , 42.10                                                     ,                                                                   8.38, 1.09                                           , 355.00                                           , 4.19                                     , 0.97                                                                                                                                ,                                                       70.00, 6.20                                               , 20.85                                                , 9.00                                                          ,                               3.00,                             0.15,             100.00,                                                                                   16.40,                                       3.18, 0.0000000                                                     ,                                          0.17,                                                                9.01,                                                     2.90,                                                                                     5.15, 0.21                                     , 0.00                                                                                     ,                                                                     0.07, 0.06                                                                                                                 , 0.21                                                  ,                                                19.90,                                                                                   0.39, , , , , , , , , , , , ,              15.70,            48.50,           54.00,             63.31, 15.00            , 29.41                              ,              61.15, 0.70                                 , 1.98                         , 42.00                 , 0.03                                   , 0.04                     , 14.00        , 10.00                   , 25.67                             ,               83.33, 42.00                                                        , 83.80
G20 , Indonesia               ,                                                      1.20,                                                      1.30, -                                                 ,                                         2.60,                                53.00,                                        44.00,                               0.72, 122.00                                          ,                          99.00,                                    0.80, 40.90                                                                           ,                                                           58.33,                                                       16.21,                                            46.26, "1,439.59"                                                                           ,                                                 76.65, "1,509.33"                                          , 126.30                                                 , "6,214.37"                                                             , 46.32                                                     ,                                                                   0.85, 0.77                                           , 20.00                                            , 0.74                                     , 2.15                                                                                                                                ,                                                       86.00, 9.50                                               , 25.19                                                , 13.00                                                         ,                               3.00,                             0.13,              68.00,                                                                                   41.58,                                       1.16, 0.0002000                                                     ,                                          0.20,                                                                3.90,                                                     6.90,                                                                                     9.29, 1.00                                     , 35.27                                                                                    ,                                                                     0.03, 0.08                                                                                                                 , -                                                     ,                                                18.50,                                                                                   0.21, , , , , , , , , , , , ,              12.70,            21.15,           74.00,             60.28, 14.00            , -                                  ,              64.82, 0.00                                 , -                            , 8.00                  , -                                      , -                        , 4.00         , 7.00                    , -                                 ,               66.67, -                                                            , 89.20
    , Iraq                    ,                                                      2.30,                                                      2.30, 0.15                                              ,                                         5.30,                                62.00,                                        44.00,                               0.79, 100.00                                          ,                          98.00,                                    0.93, -                                                                               ,                                                           14.88,                                                       16.26,                                            39.40, -                                                                                    ,                                                 74.40, "3,559.67"                                          , 165.90                                                 , "1,743.92"                                                             , 30.89                                                     ,                                                                   0.42, -                                              , -                                                , -                                        , -                                                                                                                                   ,                                                       57.00, -                                                  , -                                                    , 7.00                                                          ,                               2.00,                             0.39,               2.20,                                                                                   11.42,                                       0.00, 0.0001000                                                     ,                                          0.17,                                                                0.44,                                                     6.10,                                                                                     7.36, 0.00                                     , -                                                                                        ,                                                                     0.05, -                                                                                                                    , -                                                     ,                                                 2.60,                                                                                   0.34, , , , , , , , , , , , ,              11.20,             2.08,           45.00,             33.36, 15.00            , -                                  ,              54.31, 0.00                                 , -                            , 1.00                  , -                                      , -                        , 1.00         , 1.00                    , -                                 ,               50.00, -                                                            , 44.10
    , Ireland                 ,                                                      0.30,                                                      0.30, 0.01                                              ,                                         0.60,                                66.00,                                       195.00,                               0.96, 113.00                                          ,                         100.00,                                    1.00, 30.60                                                                           ,                                                           43.61,                                                       75.33,                                            77.31, "8,656.81"                                                                           ,                                                 51.54, "5,265.27"                                          , 282.40                                                 , "11,699.28"                                                            , 73.34                                                     ,                                                                  76.05, 6.66                                           , 63.00                                            , 2.25                                     , 4.63                                                                                                                                ,                                                      482.00, 44.30                                              , 80.01                                                , 14.00                                                         ,                              52.00,                             0.47,               1.00,                                                                                  142.86,                                       0.68, 0.0003000                                                     ,                                          3.96,                                                               15.94,                                                    20.60,                                                                                    20.42, 0.43                                     , "18,458.55"                                                                              ,                                                                     0.22, 0.06                                                                                                                 , 0.16                                                  ,                                                44.80,                                                                                   0.08, , , , , , , , , , , , ,              44.60,            32.34,           77.00,             64.71, 26.00            , 11.39                              ,              58.63, 0.00                                 , 0.61                         , 13.00                 , 0.02                                   , 0.03                     , 12.00        , 5.00                    , 0.74                              ,               50.00, 1.00                                                         , 8.10
    , Israel                  ,                                                      0.30,                                                      0.30, 0.03                                              ,                                         0.70,                                65.00,                                       280.00,                               0.87, 178.00                                          ,                          99.00,                                    1.05, 34.60                                                                           ,                                                           50.13,                                                       39.12,                                            74.58, "7,304.00"                                                                           ,                                                 83.14, -                                                   , 140.00                                                 , "4,851.06"                                                             , 71.64                                                     ,                                                                  13.81, 5.87                                           , 50.00                                            , 8.74                                     , 4.23                                                                                                                                ,                                                      186.00, 17.50                                              , 45.34                                                , 6.00                                                          ,                              14.00,                             1.30,               2.00,                                                                                  113.14,                                       0.14, 0.0001000                                                     ,                                          4.16,                                                               72.87,                                                    16.50,                                                                                    18.09, 0.21                                     , "4,048.14"                                                                               ,                                                                     0.05, 0.08                                                                                                                 , -                                                     ,                                                11.80,                                                                                   0.07, , , , , , , , , , , , ,              36.10,            21.14,           74.00,             62.70, 25.00            , 4.50                               ,              86.51, 8.40                                 , 0.77                         , 27.00                 , 0.25                                   , 0.08                     , 29.00        , 17.00                   , 1.46                              ,               66.67, 15.00                                                        , 37.80
G20 , Italy                   ,                                                      0.50,                                                      0.50, 0.03                                              ,                                         1.00,                                90.00,                                       111.00,                               0.89, 133.00                                          ,                         100.00,                                    0.91, 22.50                                                                           ,                                                           54.71,                                                       28.67,                                            49.61, "4,104.10"                                                                           ,                                                 84.32, "3,591.27"                                          , 236.80                                                 , "7,971.83"                                                             , 47.44                                                     ,                                                                   2.98, 2.97                                           , 36.00                                            , 0.19                                     , 1.82                                                                                                                                ,                                                      240.00, 37.50                                              , 62.04                                                , 7.00                                                          ,                              40.00,                             1.64,               6.00,                                                                                   87.09,                                       2.02, 0.0022000                                                     ,                                          2.98,                                                               13.80,                                                    19.00,                                                                                    21.20, 0.03                                     , "2,241.21"                                                                               ,                                                                     0.05, 0.06                                                                                                                 , 0.17                                                  ,                                                44.00,                                                                                   0.13, , , , , , , , , , , , ,              27.80,            39.99,           76.00,             63.56, 23.00            , 849.09                             ,              64.60, 1.10                                 , 0.77                         , 16.00                 , 0.04                                   , 0.01                     , 5.00         , 7.00                    , 3.23                              ,               83.33, 23.00                                                        , 45.90
    , Japan                   ,                                                      0.70,                                                      0.60, 0.04                                              ,                                         1.00,                                67.00,                                       234.00,                               0.84, -                                               ,                          97.00,                                    0.84, 8.40                                                                            ,                                                           55.90,                                                       25.05,                                            85.81, "26,952.80"                                                                          ,                                                 77.33, "3,137.62"                                          , 107.60                                                 , "11,355.20"                                                            , 77.92                                                     ,                                                                   3.17, 6.01                                           , 132.00                                           , 0.29                                     , 1.94                                                                                                                                ,                                                      219.00, 47.40                                              , 95.34                                                , 5.00                                                          ,                              41.00,                             1.02,              10.00,                                                                                  150.57,                                       4.81, 0.0006000                                                     ,                                          1.06,                                                                6.87,                                                    21.20,                                                                                    25.12, 0.46                                     , 8.08                                                                                     ,                                                                     0.03, 0.05                                                                                                                 , 0.08                                                  ,                                                22.60,                                                                                   0.54, , , , , , , , , , , , ,              19.10,            50.49,           71.00,             70.62, 46.00            , 940.71                             ,              71.00, 1.90                                 , -                            , 15.00                 , 0.02                                   , 0.12                     , 13.00        , 8.00                    , 5.39                              ,              100.00, 36.00                                                        , 21.60
